# url	archive.today URL	captured (UTC)
# A CACHE, not a record. https://archive.ph/newest/<url> is authoritative; a miss here means UNKNOWN, never absent.
https://thonly.org/research/mechanical-heart	https://archive.ph/VDmtS	2026-09-05T16:27:13Z
https://thonly.org/research/capacity-funded-human-disbursed-ai-alignment	https://archive.ph/FdJT2	2026-09-05T16:29:43Z
